,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,4,AU,1567726017,68,-33.64,115.35,34.66,12.55
1,Ushuaia,20,AR,1567725730,69,-54.81,-68.31,37.4,17.22
2,Vila Velha,40,BR,1567725829,78,-3.71,-38.6,79.12,9.17
3,Hervey Bay,0,AU,1567725902,82,-25.3,152.85,72.77,9.17
4,Ancud,20,CL,1567726018,70,-41.87,-73.83,46.4,4.7
6,Klaksvik,100,FO,1567726018,93,62.23,-6.59,48.2,2.24
7,Mar del Plata,97,AR,1567726018,79,-46.43,-67.52,39.11,9.64
8,Lyuban,1,BY,1567726018,76,52.8,28,53.51,4.32
10,Castro,20,CL,1567726018,70,-42.48,-73.76,46.4,4.7
12,Yellowknife,75,CA,1567726019,81,62.45,-114.38,51.33,9.17
13,Punta Arenas,0,CL,1567726019,80,-53.16,-70.91,39.25,6.93
14,Norman Wells,75,CA,1567726019,71,65.28,-126.83,57.2,13.87
15,Victoria,75,BN,1567725925,94,5.28,115.24,78.76,5.5
16,Bluff,0,AU,1567726019,15,-23.58,149.07,78.89,7.78
18,Luderitz,0,NA,1567726019,35,-26.65,15.16,71.6,12.75
19,Konya,0,TR,1567726020,40,37.87,32.48,68,5.82
20,Mason City,40,US,1567725924,58,43.15,-93.2,79.43,13.87
21,Basco,40,US,1567726020,65,40.33,-91.2,77.81,6.93
22,Cape Town,0,ZA,1567726020,71,-33.93,18.42,57.43,8.05
23,Inirida,60,CO,1567726020,80,3.87,-67.92,77.27,1.66
24,Chokurdakh,100,RU,1567726020,72,70.62,147.9,38.57,4.61
25,Jhelum,0,PK,1567726020,75,32.94,73.72,80.69,7.76
26,Lukovetskiy,40,RU,1567726020,93,64.29,41.92,51.8,8.95
27,Mataura,94,NZ,1567726021,78,-46.19,168.86,48,11.01
28,Jamestown,87,AU,1567725932,85,-33.21,138.6,49.73,22.12
29,Deputatskiy,68,RU,1567726021,60,69.3,139.9,42.71,2.82
30,Clyde River,75,CA,1567726021,86,70.47,-68.59,41,1.07
31,Rikitea,100,PF,1567726021,78,-23.12,-134.97,68.63,16.71
32,Port Hardy,75,CA,1567726021,82,50.7,-127.42,59,3.36
33,Caravelas,0,BR,1567726022,78,-17.73,-39.27,74.75,9.62
34,Puerto Ayora,0,EC,1567726022,65,-0.74,-90.35,73.56,23.04
35,Mlimba,14,TZ,1567726022,68,-8.78,35.81,64.31,1.52
36,Ekhabi,5,RU,1567726022,74,53.51,142.97,59.27,13.49
37,Albany,75,US,1567725746,56,42.65,-73.75,62.78,4.7
38,Arlit,48,NE,1567726022,33,18.74,7.39,92.39,15.59
39,Torbay,90,CA,1567726022,88,47.66,-52.73,66.34,9.17
40,Lagoa,0,PT,1567726023,88,37.14,-8.45,71.2,4.7
41,Hermanus,0,ZA,1567726023,80,-34.42,19.24,56.44,17
42,Atuona,20,PF,1567726023,66,-9.8,-139.03,79.43,5.93
44,North Platte,40,US,1567726023,43,41.12,-100.77,89.92,9.17
45,Puerto Leguizamo,90,CO,1567726023,94,-0.19,-74.78,73.85,0.29
46,Juruti,72,BR,1567726023,60,-2.16,-56.09,82.67,4.68
47,Sur,100,OM,1567726024,57,22.57,59.53,79.97,0.81
48,Dunedin,100,NZ,1567725825,74,-45.87,170.5,48.99,20
49,Erenhot,12,CN,1567726024,22,43.65,111.97,74.75,6.35
50,San Patricio,100,PY,1567726024,88,-26.98,-56.83,54.59,5.88
51,Mahebourg,20,MU,1567726024,93,-20.41,57.7,67.28,3.36
52,Ozinki,77,RU,1567726024,65,51.2,49.73,54.59,3.02
54,Naze,100,NG,1567726025,96,5.43,7.07,74.03,2.82
55,Kapaa,20,US,1567726025,59,22.08,-159.32,86.13,16.11
56,Zhigansk,22,RU,1567726025,75,66.77,123.37,45.05,8.97
57,Daye,10,CN,1567726025,74,30.1,114.98,77.63,2.42
58,Saldanha,0,PT,1567726025,54,41.42,-6.55,59.63,11.59
59,Amahai,30,ID,1567726025,83,-3.31,129,76.91,9.22
60,Mugur-Aksy,33,RU,1567726025,87,50.38,90.44,26.33,1.25
61,Poya,0,NC,1567726026,67,-21.35,165.16,68.27,11.52
62,Yulara,0,AU,1567726026,35,-25.24,130.99,51.8,12.75
64,Port Alfred,71,ZA,1567726026,69,-33.59,26.89,55,3
65,Rokytne,2,UA,1567726026,76,51.27,27.23,55.49,1.83
66,Saskylakh,100,RU,1567726026,96,71.97,114.09,43.97,10.16
67,Bredasdorp,5,ZA,1567726026,76,-34.53,20.04,56.41,10.29
68,Balkanabat,0,TM,1567726026,23,39.51,54.36,74.21,7.87
69,Butaritari,48,KI,1567726027,70,3.07,172.79,84.83,10.4
70,Nikolskoye,0,RU,1567726027,82,59.7,30.79,57.63,6.71
71,San Carlos,100,NI,1567725904,53,11.12,-84.78,73,8.99
72,Port Elizabeth,1,US,1567726027,68,39.31,-74.98,70.7,9.17
73,Avarua,92,CK,1567726027,61,-21.21,-159.78,77,26.4
74,Roccastrada,0,IT,1567726027,88,43.01,11.17,69.62,3.36
75,Aksu,90,KZ,1567726028,93,52.04,76.93,53.6,6.71
76,Lavrentiya,100,RU,1567726028,81,65.58,-170.99,47.39,5.99
77,Pinawa,37,CA,1567726028,95,50.15,-95.88,46,4.52
78,Bethel,90,US,1567726028,82,60.79,-161.76,54.77,23.04
79,Kruisfontein,4,ZA,1567726028,85,-34,24.73,47.21,10.29
82,Ishigaki,75,JP,1567726028,94,24.34,124.16,80.6,14.99
83,Kavaratti,89,IN,1567726029,81,10.57,72.64,82.31,20.22
84,Barrow,100,AR,1567726029,68,-38.31,-60.23,40.19,7.43
85,Chapais,75,CA,1567726029,57,49.78,-74.86,50,6.93
86,Tuktoyaktuk,40,CA,1567726029,76,69.44,-133.03,50,4.7
87,Georgetown,20,GY,1567725917,70,6.8,-58.16,84.2,11.41
88,Henties Bay,0,NA,1567726029,90,-22.12,14.28,55,1.01
89,Corrales,81,CO,1567726029,92,5.83,-72.84,49.19,5.23
90,Roald,72,NO,1567726030,76,62.58,6.12,44.6,12.75
91,Chuy,72,UY,1567726030,79,-33.69,-53.46,48.47,8.46
92,Muros,20,ES,1567726030,76,42.77,-9.06,60.78,9.17
93,Govlyar,75,AZ,1567726030,82,40.95,45.73,66.2,2.24
94,Los Llanos de Aridane,75,ES,1567726030,88,28.66,-17.92,73.4,16.11
95,Nurota,0,UZ,1567726030,48,40.56,65.69,62.6,2.24
96,Ban Nahin,100,LA,1567726030,98,18.24,104.21,72.77,0.09
97,Isla Mujeres,75,MX,1567726031,74,21.23,-86.73,86,6.93
99,Liseleje,23,DK,1567726031,71,56.01,11.96,53.92,14.99
100,Lorengau,97,PG,1567726031,87,-2.02,147.27,78.17,4.83
102,Kaduqli,95,SD,1567726031,94,11.01,29.72,69.17,3
103,Paamiut,100,GL,1567726031,71,61.99,-49.67,43.43,5.79
104,Monforte de Lemos,8,ES,1567726031,80,42.52,-7.51,54.75,4.63
105,Oranjemund,0,ZA,1567726031,81,-28.55,16.43,57.29,17.4
106,Carnarvon,0,ZA,1567726032,67,-30.97,22.13,47.21,15.35
107,Atar,29,MR,1567726032,30,20.52,-13.05,96.53,5.66
108,Esperance,46,AU,1567726032,93,-33.86,121.89,35.6,8.05
109,Katobu,2,ID,1567726032,66,-4.94,122.53,79.43,7.11
110,Chara,20,GR,1567726032,77,39.42,22.43,66.2,0.92
111,Cidreira,38,BR,1567726032,68,-30.17,-50.22,54.59,11.14
113,Vaini,100,IN,1567726032,92,15.34,74.49,76.55,8.23
115,Eltham,39,GB,1567726033,76,51.45,0.05,49.53,3.36
117,Sorong,81,ID,1567726033,74,-0.86,131.25,81.05,9.64
119,Kahului,40,US,1567726033,49,20.89,-156.47,84.85,20.8
120,Andijan,75,UZ,1567726033,45,40.76,72.37,67.06,4.47
121,Douglas,75,US,1567726033,59,58.28,-134.39,62.38,10.29
122,Khatanga,100,RU,1567726033,98,71.98,102.47,47.03,4.21
124,Ribeira Grande,42,PT,1567726034,79,38.52,-28.7,70.61,13.65
125,Nome,1,US,1567726034,39,30.04,-94.42,93.07,6.17
126,Husavik,51,CA,1567726034,76,50.56,-96.99,67.64,5.01
127,Beloha,10,MG,1567726034,96,-25.17,45.06,65.03,6.33
128,Ilulissat,40,GL,1567726034,69,69.22,-51.1,39.2,1.12
129,Capao da Canoa,8,BR,1567726034,76,-29.75,-50.01,50.63,9.1
130,Tocantins,81,BR,1567726034,83,-21.17,-43.02,70,5.01
131,Atambua,98,ID,1567726035,72,-9.11,124.89,74.57,8.55
133,Bilibino,28,RU,1567726035,56,68.06,166.44,49.01,4
134,Akureyri,90,IS,1567726035,87,65.68,-18.09,44.6,6.93
135,Usvyaty,0,RU,1567726035,95,55.75,30.75,51.89,4.07
136,Khuzhir,100,RU,1567726035,95,53.19,107.35,42.71,3.4
137,Byron Bay,75,AU,1567726030,100,-28.65,153.62,67.37,6.93
138,Sao Joao da Barra,100,BR,1567726035,81,-21.64,-41.05,66.11,12.03
139,Lingao,12,CN,1567726036,80,19.91,109.69,83.39,10.96
140,Sahbuz,40,AZ,1567726036,53,39.41,45.57,71.6,11.41
141,Guayabetal,75,CO,1567726036,55,4.22,-73.81,75.22,8.05
142,Chumikan,53,RU,1567726036,58,54.72,135.31,60.89,2.48
143,Lebu,40,ET,1567726036,93,8.96,38.73,53.6,3.36
144,Tautira,75,PF,1567726036,58,-17.73,-149.15,82.17,10.29
145,Lasa,40,CY,1567726036,83,34.92,32.53,73.72,4.7
146,Ekuvukeni,100,ZA,1567726036,86,-28.47,30.16,52.79,4.21
147,Shakiso,98,ET,1567726037,97,5.77,38.9,54.23,1.48
150,Alofi,40,NU,1567726037,83,-19.06,-169.92,80.6,11.41
151,Alugan,100,PH,1567726037,73,12.22,125.48,83.21,6.93
152,Gat,75,SN,1567726037,94,14.69,-16.54,81.45,9.28
153,Shelburne,1,CA,1567726037,67,44.08,-80.2,65.43,6.93
154,Lompoc,1,US,1567725869,64,34.64,-120.46,78.71,13.87
156,Teguise,75,ES,1567726037,78,29.06,-13.56,73.4,2.24
157,Porto Walter,80,BR,1567725809,95,-8.27,-72.74,70.07,3.87
158,Umm Kaddadah,80,SD,1567726037,59,13.6,26.69,81.23,10.07
159,Coihaique,90,CL,1567726038,69,-45.58,-72.07,34.54,6.93
160,Hilo,75,US,1567726038,58,19.71,-155.08,83.26,11.41
161,Kuminskiy,72,RU,1567726038,96,58.67,66.57,45.05,4.43
162,Hofn,86,IS,1567726038,96,64.25,-15.21,32.45,1.99
163,Zabaykalsk,6,CN,1567726038,78,49.64,117.33,62.51,4.45
164,Cabo San Lucas,75,MX,1567725862,58,22.89,-109.91,86.77,10.29
165,Hovd,75,NO,1567726038,81,63.83,10.7,48.04,18.34
166,Rio Grande,0,BR,1567726039,87,-32.03,-52.1,49.59,5.59
167,Souillac,0,FR,1567726039,62,45.6,-0.6,53.31,14.29
168,Thompson,90,CA,1567726039,54,55.74,-97.86,53.6,4.7
169,Santa Cruz,12,BR,1567726039,75,-6.22,-36.02,71.33,17.43
170,Padang,74,ID,1567726039,84,-0.92,100.36,80.51,12.62
172,Baghramyan,46,AM,1567726039,46,40.19,43.86,64.08,14.99
173,Gayny,32,RU,1567726039,93,60.3,54.33,49.91,2.84
174,Paramonga,73,PE,1567726040,93,-10.68,-77.82,59.45,9.71
176,Bambous Virieux,20,MU,1567726040,93,-20.34,57.76,67.24,3.36
177,Pisco,0,PE,1567726040,30,-13.71,-76.2,66.78,12.75
178,Hobart,75,AU,1567726040,81,-42.88,147.33,47.01,6.93
179,Fort-Shevchenko,40,KZ,1567726040,56,44.51,50.26,68.99,14.79
182,Beyneu,0,KZ,1567726041,42,45.32,55.19,59.27,6.46
183,Salinopolis,13,BR,1567726041,77,-0.61,-47.36,80.69,16.69
184,Bonthe,100,SL,1567726041,92,7.53,-12.5,76.55,6.71
185,Brufut,40,GM,1567726041,100,13.38,-16.75,77,2.24
186,Palu,4,ID,1567726041,85,-0.9,119.87,78.53,1.9
187,Rodrigues Alves,40,BR,1567726041,70,-7.74,-72.65,86,3.36
189,Banepa,75,NP,1567725973,100,27.63,85.52,69.8,3.36
190,Berlevag,100,NO,1567726041,89,70.86,29.09,49.19,9.64
191,Nahavand,0,IR,1567726042,28,34.19,48.37,60.82,6.93
192,Zeya,56,RU,1567726042,49,53.74,127.27,61.43,1.9
193,Dikson,100,RU,1567726042,97,73.51,80.55,43.25,13.22
194,Bandarbeyla,23,SO,1567726042,72,9.49,50.81,75.83,26.04
195,Santa Maria,0,BR,1567726042,25,-16.02,-48.01,71.42,5.82
196,Pierre,1,US,1567725837,42,44.37,-100.35,83.46,11.41
197,Sinnamary,42,GF,1567726042,80,5.38,-52.96,81.59,19.44
198,Cocobeach,75,GA,1567726042,83,1.01,9.58,78.8,9.17
199,Shar,97,NG,1567726042,92,7.3,8.73,74.75,4.68
200,Saint George,20,GR,1567726042,77,39.45,22.34,66.2,0.92
201,Puerto del Rosario,20,ES,1567725996,69,28.5,-13.86,73.4,6.93
202,East London,83,ZA,1567726043,82,-33.02,27.91,50.63,4.21
203,Faya,0,SA,1567726043,40,18.39,42.45,71.58,2.06
204,Itarema,0,BR,1567726043,86,-2.92,-39.92,75.29,5.44
206,Dingle,88,PH,1567726043,79,11,122.67,81.23,7.38
207,Merauke,86,ID,1567726043,81,-8.49,140.4,73.85,15.97
208,Porto San Giorgio,52,IT,1567726043,88,43.18,13.79,67.64,2.24
209,Airai,91,TL,1567726043,49,-8.93,125.41,79.25,2.42
210,Yumen,24,CN,1567726044,30,40.29,97.04,68.81,6.96
211,Kaitangata,100,NZ,1567726044,73,-46.28,169.85,46,11.01
212,Filingue,1,NE,1567726044,42,14.35,3.32,90.23,10.74
213,Sosnovoborsk,76,RU,1567726044,100,56.12,93.34,37.4,3.67
214,Anupgarh,23,IN,1567726044,48,29.19,73.21,92.03,6.73
215,Mahibadhoo,42,MV,1567726044,75,3.78,72.97,83.03,8.1
216,Marawi,99,PH,1567726044,79,8,124.29,78.01,5.99
217,Longyearbyen,75,NO,1567726044,74,78.22,15.63,37.4,16.11
218,Saint-Joseph,1,FR,1567726045,68,43.56,6.97,69.13,5.82
219,Savinka,0,RU,1567726045,57,50.08,47.1,55.31,6.2
220,Havelock,90,US,1567726045,78,34.88,-76.9,77.22,19.46
221,Ballina,100,IE,1567726045,93,54.11,-9.15,55.78,10
222,Qaanaaq,77,GL,1567726045,58,77.48,-69.36,29.57,6.13
223,Port-Cartier,20,CA,1567726045,50,50.03,-66.88,53.6,6.93
224,Kununurra,16,AU,1567726045,77,-15.77,128.74,68,5.82
226,Rodeo,93,MX,1567726046,65,25.18,-104.56,72.05,10.74
228,Constitucion,75,MX,1567726046,49,23.99,-104.67,70.77,5.82
229,Punta,75,PH,1567726046,78,14.18,121.12,81.97,6.93
230,North Bend,90,US,1567726046,88,43.41,-124.22,63.91,9.17
231,Salalah,75,OM,1567726046,88,17.01,54.1,78.8,3.36
232,Half Moon Bay,1,US,1567726021,82,37.46,-122.43,70,13.87
233,Anadyr,75,RU,1567726046,71,64.73,177.51,50,2.24
234,Cairns,39,AU,1567726046,40,-16.92,145.77,72.55,1.12
235,Miles City,1,US,1567726046,15,46.41,-105.84,88.61,11.41
236,Mercedes,45,UY,1567726047,52,-33.25,-58.03,50,3
237,Dolinsk,85,RU,1567726047,88,47.32,142.8,68,4.47
238,Puerto Escondido,75,MX,1567726047,62,15.86,-97.07,89.6,3.36
239,Quatre Cocos,20,MU,1567726047,93,-20.21,57.76,67.19,3.36
240,Canby,1,US,1567725818,31,45.26,-122.69,87.42,4.7
241,Raymond,20,CA,1567726047,40,49.47,-112.67,74.97,4.7
243,Manggar,57,ID,1567726047,80,-2.88,108.27,77.45,6.62
244,Risor,29,NO,1567726047,94,58.72,9.23,46.99,4.38
245,Marsh Harbour,0,BS,1567726048,81,26.54,-77.06,84.11,17
246,Aklavik,75,CA,1567726048,93,68.22,-135.01,53.33,3.36
247,Pidhorodne,40,UA,1567726048,93,48.57,35.1,60.8,8.95
248,Tiksi,100,RU,1567726048,75,71.64,128.87,40.73,5.59
249,Luganville,75,VU,1567726048,50,-15.51,167.18,78.8,11.41
250,Nouadhibou,29,MR,1567726048,73,20.93,-17.03,75.2,12.75
251,Nea Vissa,0,GR,1567726048,92,41.58,26.53,55,5.57
252,San Estanislao,99,PY,1567726048,61,-24.67,-56.44,69.89,5.84
253,Ponta do Sol,73,BR,1567726049,77,-20.63,-46,68.27,10.47
255,Coquimbo,0,CL,1567726049,76,-29.95,-71.34,53.6,10.29
256,Talcahuano,0,CL,1567725919,87,-36.72,-73.12,53.6,11.41
257,Osa,0,RU,1567726049,95,57.28,55.46,44.69,3.53
258,Vila Franca do Campo,75,PT,1567726049,72,37.72,-25.43,69.6,5.82
259,Sogne,16,NO,1567726049,61,58.08,7.82,49.21,6.93
261,Kysyl-Syr,37,RU,1567726049,80,63.9,122.77,45.77,5.26
262,Shirokiy,87,RU,1567726049,61,53.87,39.17,59.63,8.81
263,Klyuchi,100,RU,1567726050,41,52.25,79.17,59.63,5.19
264,Namibe,86,AO,1567726050,91,-15.19,12.15,63.41,5.23
265,Hithadhoo,62,MV,1567726050,79,-0.6,73.08,82.49,14.94
266,Sarangani,100,PH,1567726050,77,5.4,125.46,82.31,8.16
267,Comodoro Rivadavia,40,AR,1567726050,70,-45.87,-67.48,46.4,16.11
268,Kodiak,1,US,1567726050,66,39.95,-94.76,88.11,10.29
269,Tura,0,RU,1567726051,64,64.27,100.22,38.75,4.12
271,Turukhansk,100,RU,1567726051,85,65.8,87.96,49.91,5.91
272,Mandera,11,ET,1567726051,59,3.94,41.86,76.91,11.68
273,Buala,69,SB,1567726051,78,-8.15,159.59,79.43,16.82
274,Flic en Flac,20,MU,1567726051,93,-20.27,57.36,67.21,3.36
275,Jardim,100,BR,1567726051,43,-21.48,-56.15,81.23,4.25
276,Praia da Vitoria,75,PT,1567725949,77,38.73,-27.07,69.8,18.75
277,La Ronge,75,CA,1567726051,63,55.1,-105.3,60.8,21.92
278,Guerrero Negro,0,MX,1567726051,77,27.97,-114.04,74.57,9.95
279,Fukue,75,JP,1567726052,78,35.03,136.69,81.1,4.7
280,Pontes e Lacerda,41,BR,1567726052,33,-15.23,-59.33,85.01,4.27
281,Port Macquarie,0,AU,1567726052,93,-31.43,152.91,62.47,4.7
282,Mitsamiouli,0,KM,1567726052,73,-11.38,43.28,77.09,4.9
283,Port Lincoln,70,AU,1567726052,69,-34.72,135.86,53.87,32.88
284,Manokwari,94,ID,1567726052,77,-0.87,134.08,78.17,4.56
285,Lat Yao,96,TH,1567725944,87,15.75,99.79,76.37,1.05
286,Avera,1,US,1567726053,49,33.19,-82.53,87.93,5.82
287,Arkhara,77,RU,1567726053,89,49.42,130.09,67.19,3.2
288,New Norfolk,75,AU,1567726053,81,-42.78,147.06,46.94,6.93
289,Mantua,40,IT,1567726053,64,45.16,10.79,68.9,2.24
290,Vostok,55,RU,1567726053,70,46.45,135.83,73.49,1.72
292,Kabare,40,RW,1567726053,90,-1.65,29.38,55.49,0.78
293,Vuktyl,34,RU,1567726053,94,63.86,57.31,48.83,5.44
296,Nyagan,0,RU,1567726054,94,62.14,65.43,45.77,2.64
297,Ibra,90,OM,1567726054,44,22.69,58.55,80.15,0.51
298,Gushikawa,75,JP,1567726054,79,26.35,127.87,82.26,24.16
299,Terney,100,RU,1567726054,68,45.05,136.61,70.61,1.81
300,Olga,1,US,1567726054,30,34.11,-118.17,90.43,10.29
302,Pevek,42,RU,1567726054,75,69.7,170.27,42.89,1.34
303,Ca Mau,36,VN,1567726054,84,9.18,105.15,79.25,3.85
305,Bonga,100,ET,1567726055,99,7.26,36.25,58.19,1.61
306,Anchorage,75,US,1567726041,59,61.22,-149.89,61.7,4.7
307,Pangody,100,RU,1567726055,79,65.85,74.49,52.43,11.65
308,Nemuro,93,JP,1567726055,93,43.32,145.57,65.75,7.29
309,Grindavik,75,IS,1567726055,100,63.84,-22.43,50.95,4.7
310,Songkhla,40,TH,1567726055,100,7.2,100.6,75.2,3.36
311,Verkhoyansk,94,RU,1567726055,72,67.55,133.39,45.95,3.6
312,Yuzawa,75,JP,1567726055,94,39.05,140.54,70.43,3.36
313,Miri,4,NG,1567726055,94,10.31,9.75,70.61,4.41
314,Kavieng,42,PG,1567726056,74,-2.57,150.8,82.31,10.4
315,Richards Bay,100,ZA,1567726056,69,-28.77,32.06,66.29,18.12
316,Valparaiso,1,US,1567726056,60,41.47,-87.06,69.8,4.7
317,Alice Springs,0,AU,1567726056,41,-23.7,133.88,60.8,16.11
318,Abapo,99,BO,1567726056,41,-18.83,-63.47,71.51,1.72
